rank_global,id_kandidat,nama,jenjang,prioritas,skor_ahp,C1_raw,C2_demand_siswa,n_sekolah_3km,C3_raw,C4_raw,C5_raw,C6_raw,dist_sppg_m,dist_jalan_m,n_sekolah_1500m,kecamatan,jumlah_siswa,dist_sppg_km,lon,lat
1,K0015,SMAS ATTARBIYAH,SMA,Prioritas Tinggi,3.533333333333333,5,17875,57,3.6666666666666665,5,5,2,3041.6699929861647,1.7624807724292186,11,Lakarsantri,88,3.042,112.646365,-7.291887100000004
2,K0012,SMP CITA HATI CHRISTIAN SCHOOL WEST,SMP,Prioritas Tinggi,3.463312251637096,5,8286,31,5.0,5,5,5,3536.4961949770272,0.4507869977094283,16,Lakarsantri,311,3.536,112.63680500000001,-7.298493999999997
3,K0010,SMP Kristen Masa Depan Cerah,SMP,Prioritas Sedang,3.4219357847801346,5,16242,55,3.4,5,4,4,3120.7021770748493,114.60836453307748,10,Sambikerep,147,3.121,112.643839,-7.280463000000007
4,K0002,SDN LAKARSANTRI III /474,SD,Prioritas Sedang,3.409978918303763,5,8286,31,4.733333333333333,5,5,5,3586.6161522199577,10.881763140873987,15,Lakarsantri,108,3.587,112.634389,-7.299858999999998
5,K0011,MTsN 2 KOTA SURABAYA,SMP,Prioritas Rendah,3.409978918303763,5,8286,31,4.733333333333333,5,5,5,3577.6961026392646,7.824064892327565,15,Lakarsantri,993,3.578,112.634393,-7.299963000000003
6,K0008,SD SURABAYA TAIPEI SCHOOL,SD,Prioritas Rendah,3.4016749687505827,5,15880,55,3.4,5,4,4,3173.425258023099,123.29788575296168,10,Sambikerep,146,3.173,112.642825,-7.280371000000004
7,K0013,SMP SURABAYA TAIPEI SCHOOL,SMP,Prioritas Rendah,3.4016749687505827,5,15880,55,3.4,5,4,4,3173.425258023099,123.29788575296168,10,Sambikerep,34,3.173,112.642825,-7.280371000000004
8,K0006,MIS AT-TAUFIQ,SD,Prioritas Rendah,3.398673159082853,5,8084,30,4.733333333333333,5,5,5,3547.289844290351,38.26276103394955,15,Lakarsantri,449,3.547,112.633788,-7.300887000000005
9,K0005,MIS TARBIYATUS SHIBYAN,SD,Prioritas Rendah,3.396266487565531,5,8041,29,4.733333333333333,5,5,5,3552.5303917792817,1.0869404605499091,15,Lakarsantri,478,3.553,112.632544,-7.302056999999992
10,K0004,Sekolah Dasar Kristen Cita Hati West Campus,SD,Prioritas Rendah,3.363312251637096,5,8286,31,5.0,5,4,5,3563.9206757244033,104.76439004492178,16,Lakarsantri,502,3.564,112.635526,-7.299169000000001
11,K0001,SDN LAKARSANTRI I /472,SD,Prioritas Rendah,3.3257939217551913,5,7973,28,4.733333333333333,5,5,4,3617.1446923852013,25.134163273206077,15,Lakarsantri,147,3.617,112.630849,-7.303066999999999
12,K0009,SD KHAYMING,SD,Prioritas Rendah,3.3033122516370965,5,8286,31,4.2,5,5,5,3864.6593388258875,19.711450408382575,13,Lakarsantri,29,3.865,112.634999,-7.296137
13,K0003,SDN MADE I / 475,SD,Prioritas Rendah,3.063381653327363,5,13290,41,2.6,5,5,2,3151.712782429214,37.470971795130495,7,Sambikerep,396,3.152,112.636351,-7.276940000000008
14,K0007,MIS NURUL HIDAYAH,SD,Prioritas Rendah,2.437724669315871,5,11164,34,2.0666666666666664,5,1,2,3705.979508255536,613.1059829070017,5,Sambikerep,264,3.706,112.63074,-7.279255
15,K0014,SMP KRISTEN GLORIA 3,SMP,Prioritas Rendah,1.0,5,8,1,1.0,1,1,2,8327.115018888717,7688.709213520682,1,,8,8.327,112.724985,-7.4179089999999945
